label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
gripper,99,77,5,27,298.png,200,150
gripper,99,78,5,26,300.png,200,150
gripper,99,78,5,26,302.png,200,150
gripper,1421,1093,96,406,304.png,2880,2160
gripper,1425,1078,84,425,306.png,2880,2160
gripper,1417,1086,92,410,308.png,2880,2160
gripper,1421,1082,92,410,310.png,2880,2160
gripper,1432,1090,73,410,312.png,2880,2160
gripper,1421,1074,92,429,314.png,2880,2160
gripper,1417,1082,100,421,316.png,2880,2160
gripper,1421,1082,88,414,318.png,2880,2160
gripper,1421,1086,92,421,320.png,2880,2160
gripper,1425,1078,80,421,322.png,2880,2160
gripper,1421,1090,84,414,324.png,2880,2160
gripper,1417,1059,96,456,326.png,2880,2160
gripper,1425,1082,88,421,328.png,2880,2160
gripper,1425,1082,88,421,330.png,2880,2160
gripper,1429,1082,73,410,332.png,2880,2160
gripper,1425,1067,88,429,334.png,2880,2160
gripper,1421,1078,84,421,336.png,2880,2160
gripper,1417,1082,96,425,338.png,2880,2160
gripper,1413,1070,103,425,340.png,2880,2160
gripper,1425,936,80,440,342.png,2880,2160
gripper,1425,925,80,417,344.png,2880,2160
gripper,1417,921,100,429,346.png,2880,2160
gripper,1421,906,100,460,348.png,2880,2160
gripper,1421,898,92,471,350.png,2880,2160
gripper,1421,906,100,456,352.png,2880,2160
gripper,1417,894,107,471,354.png,2880,2160
gripper,1421,902,92,460,356.png,2880,2160
gripper,1429,913,80,448,358.png,2880,2160
gripper,1429,879,88,513,360.png,2880,2160
gripper,1425,875,100,525,362.png,2880,2160
gripper,1429,1178,88,494,364.png,2880,2160
gripper,1432,1407,84,467,366.png,2880,2160
gripper,1432,1396,92,479,368.png,2880,2160
gripper,1417,1090,111,502,370.png,2880,2160
gripper,1417,875,111,525,372.png,2880,2160
gripper,1421,883,111,517,374.png,2880,2160
gripper,1421,906,88,463,376.png,2880,2160
gripper,1429,913,80,460,378.png,2880,2160
gripper,1421,898,100,471,380.png,2880,2160
gripper,1417,906,100,460,382.png,2880,2160
gripper,1417,910,107,448,384.png,2880,2160
gripper,1421,913,96,452,386.png,2880,2160
gripper,1425,917,88,429,388.png,2880,2160
gripper,1417,963,100,429,390.png,2880,2160
gripper,1425,1086,88,421,392.png,2880,2160
gripper,1436,1086,77,406,394.png,2880,2160
gripper,1425,929,80,414,396.png,2880,2160
gripper,1425,933,84,402,398.png,2880,2160
gripper,1429,906,88,437,400.png,2880,2160
gripper,1425,917,92,444,402.png,2880,2160
gripper,1417,898,100,494,404.png,2880,2160
gripper,1432,1331,92,479,406.png,2880,2160
gripper,1425,917,92,452,408.png,2880,2160
gripper,1425,910,92,456,410.png,2880,2160
gripper,1417,910,111,456,412.png,2880,2160
gripper,1413,913,115,448,414.png,2880,2160
gripper,1417,913,103,452,416.png,2880,2160
gripper,1413,921,103,421,418.png,2880,2160
gripper,1425,929,92,421,420.png,2880,2160
gripper,1417,1090,92,421,422.png,2880,2160
gripper,1421,1078,88,421,424.png,2880,2160
gripper,1425,979,84,410,426.png,2880,2160
gripper,1429,921,77,421,428.png,2880,2160
gripper,1425,917,84,437,430.png,2880,2160
gripper,1417,917,100,448,432.png,2880,2160
gripper,1421,917,96,456,434.png,2880,2160
gripper,1429,906,88,467,436.png,2880,2160
gripper,1413,917,111,448,438.png,2880,2160
gripper,1425,906,96,452,440.png,2880,2160
gripper,1421,910,100,456,442.png,2880,2160
gripper,1413,887,119,513,444.png,2880,2160
gripper,1417,894,111,506,446.png,2880,2160
gripper,1421,1185,111,502,448.png,2880,2160
gripper,1425,1407,96,475,450.png,2880,2160
gripper,1429,1400,100,471,452.png,2880,2160
gripper,1429,982,96,509,454.png,2880,2160
gripper,1413,871,119,529,456.png,2880,2160
gripper,1421,887,115,513,458.png,2880,2160
gripper,1429,910,103,467,460.png,2880,2160
gripper,1413,913,107,448,462.png,2880,2160
gripper,1421,910,107,460,464.png,2880,2160
gripper,1421,906,96,463,466.png,2880,2160
gripper,1425,906,96,460,468.png,2880,2160
gripper,1421,917,100,448,470.png,2880,2160
gripper,1421,921,96,425,472.png,2880,2160
gripper,1425,917,88,425,474.png,2880,2160
gripper,1429,1090,84,402,476.png,2880,2160
gripper,1425,1090,84,414,478.png,2880,2160
gripper,1425,913,88,437,480.png,2880,2160
gripper,1417,917,96,429,482.png,2880,2160
gripper,1417,913,107,456,484.png,2880,2160
gripper,1425,894,88,475,486.png,2880,2160
gripper,1425,913,96,448,488.png,2880,2160
gripper,1421,902,96,460,490.png,2880,2160
gripper,1409,913,111,452,492.png,2880,2160
gripper,1413,898,107,467,494.png,2880,2160
gripper,1409,898,111,463,496.png,2880,2160
gripper,1413,890,111,502,498.png,2880,2160
gripper,1413,883,119,509,500.png,2880,2160
gripper,1413,925,119,513,502.png,2880,2160
gripper,1425,1407,96,471,504.png,2880,2160
gripper,1436,1396,80,479,506.png,2880,2160
gripper,1417,1361,107,475,508.png,2880,2160
gripper,1413,879,111,513,510.png,2880,2160
gripper,1429,883,103,509,512.png,2880,2160
gripper,1421,890,96,483,514.png,2880,2160
gripper,1417,913,103,448,516.png,2880,2160
gripper,1417,906,92,452,518.png,2880,2160
gripper,1421,894,100,467,520.png,2880,2160
gripper,1421,898,96,463,522.png,2880,2160
gripper,1413,910,107,452,524.png,2880,2160
gripper,1421,906,100,456,526.png,2880,2160
gripper,1413,917,103,425,528.png,2880,2160
gripper,1417,906,96,437,530.png,2880,2160
gripper,1432,1078,69,421,532.png,2880,2160
gripper,1425,1082,84,417,534.png,2880,2160
gripper,1425,1082,80,421,536.png,2880,2160
gripper,1425,1082,84,417,538.png,2880,2160
gripper,1425,1067,80,429,540.png,2880,2160
gripper,1425,1086,84,414,542.png,2880,2160
gripper,1429,1086,80,421,544.png,2880,2160
gripper,1425,1082,80,433,546.png,2880,2160
gripper,1417,1078,92,421,548.png,2880,2160
gripper,1425,1078,80,421,550.png,2880,2160
gripper,1432,1078,73,414,552.png,2880,2160
gripper,1425,1078,84,425,554.png,2880,2160
gripper,1432,1070,69,421,556.png,2880,2160
gripper,1425,1074,84,421,558.png,2880,2160
gripper,1425,1070,84,429,560.png,2880,2160
gripper,1425,1082,80,414,562.png,2880,2160
gripper,1429,1082,80,421,564.png,2880,2160
gripper,1429,1082,80,421,566.png,2880,2160
gripper,1425,1078,84,421,568.png,2880,2160
gripper,1429,1078,77,421,570.png,2880,2160
gripper,1429,1074,80,425,572.png,2880,2160
