label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
gripper,772,518,123,128,0.png,1440,900
gripper,678,502,126,147,10.png,1440,900
gripper,776,527,107,123,100.png,1440,900
gripper,776,527,111,124,102.png,1440,900
gripper,770,520,115,128,104.png,1440,900
gripper,770,520,117,130,106.png,1440,900
gripper,770,516,113,134,108.png,1440,900
gripper,770,524,117,126,110.png,1440,900
gripper,768,520,119,126,112.png,1440,900
gripper,774,518,109,132,114.png,1440,900
gripper,770,520,115,128,116.png,1440,900
gripper,772,516,115,134,118.png,1440,900
gripper,661,516,111,130,12.png,1440,900
gripper,770,516,119,130,120.png,1440,900
gripper,777,524,109,126,122.png,1440,900
gripper,774,522,111,126,124.png,1440,900
gripper,774,520,113,132,126.png,1440,900
gripper,779,581,107,90,128.png,1440,900
gripper,770,598,126,77,130.png,1440,900
gripper,779,598,109,73,132.png,1440,900
gripper,774,522,115,128,134.png,1440,900
gripper,772,526,119,123,136.png,1440,900
gripper,751,526,113,123,138.png,1440,900
gripper,663,585,109,124,14.png,1440,900
gripper,682,522,109,124,140.png,1440,900
gripper,657,516,119,130,142.png,1440,900
gripper,657,516,115,138,144.png,1440,900
gripper,657,596,117,126,146.png,1440,900
gripper,663,671,105,121,148.png,1440,900
gripper,657,709,113,124,150.png,1440,900
gripper,651,708,117,132,152.png,1440,900
gripper,655,654,119,144,154.png,1440,900
gripper,651,596,123,138,156.png,1440,900
gripper,643,520,138,144,158.png,1440,900
gripper,655,685,115,136,16.png,1440,900
gripper,657,505,124,146,160.png,1440,900
gripper,680,497,119,151,162.png,1440,900
gripper,741,516,128,134,164.png,1440,900
gripper,772,514,117,134,166.png,1440,900
gripper,774,516,121,134,168.png,1440,900
gripper,776,526,109,124,170.png,1440,900
gripper,776,526,107,124,172.png,1440,900
gripper,774,524,111,123,174.png,1440,900
gripper,774,522,113,130,176.png,1440,900
gripper,770,522,119,128,178.png,1440,900
gripper,661,717,109,117,18.png,1440,900
gripper,776,520,111,126,180.png,1440,900
gripper,774,524,113,128,182.png,1440,900
gripper,774,516,111,134,184.png,1440,900
gripper,776,524,111,130,186.png,1440,900
gripper,772,522,115,130,188.png,1440,900
gripper,779,524,107,123,190.png,1440,900
gripper,774,518,113,128,192.png,1440,900
gripper,776,524,111,121,194.png,1440,900
gripper,772,526,119,132,196.png,1440,900
gripper,772,593,126,69,198.png,1440,900
gripper,770,575,117,73,2.png,1440,900
gripper,663,631,107,117,20.png,1440,900
gripper,760,596,128,73,200.png,1440,900
gripper,776,566,113,88,202.png,1440,900
gripper,768,520,124,126,204.png,1440,900
gripper,766,520,124,128,206.png,1440,900
gripper,707,518,126,132,208.png,1440,900
gripper,655,520,119,128,210.png,1440,900
gripper,659,514,113,136,212.png,1440,900
gripper,651,562,121,132,214.png,1440,900
gripper,657,631,117,132,216.png,1440,900
gripper,659,704,113,124,218.png,1440,900
gripper,655,524,123,130,22.png,1440,900
gripper,655,721,117,124,220.png,1440,900
gripper,653,711,121,119,222.png,1440,900
gripper,651,635,123,124,224.png,1440,900
gripper,651,556,121,138,226.png,1440,900
gripper,653,520,117,121,228.png,1440,900
gripper,647,520,119,128,230.png,1440,900
gripper,712,508,113,130,232.png,1440,900
gripper,777,522,107,126,234.png,1440,900
gripper,772,516,113,130,236.png,1440,900
gripper,770,518,121,136,238.png,1440,900
gripper,659,508,111,146,24.png,1440,900
gripper,768,518,121,134,240.png,1440,900
gripper,770,518,115,126,242.png,1440,900
gripper,774,520,109,126,244.png,1440,900
gripper,764,512,124,134,246.png,1440,900
gripper,779,518,105,132,248.png,1440,900
gripper,776,520,117,126,250.png,1440,900
gripper,768,516,124,130,252.png,1440,900
gripper,774,514,113,134,254.png,1440,900
gripper,776,512,119,134,256.png,1440,900
gripper,768,522,117,126,258.png,1440,900
gripper,737,516,121,128,26.png,1440,900
gripper,776,516,111,130,260.png,1440,900
gripper,770,510,117,138,262.png,1440,900
gripper,776,512,113,136,264.png,1440,900
gripper,774,529,109,128,266.png,1440,900
gripper,774,595,121,77,268.png,1440,900
gripper,774,600,115,71,270.png,1440,900
gripper,766,575,123,90,272.png,1440,900
gripper,779,524,113,117,274.png,1440,900
gripper,768,516,123,130,276.png,1440,900
gripper,726,520,121,128,278.png,1440,900
gripper,768,520,119,126,28.png,1440,900
gripper,653,520,123,124,280.png,1440,900
gripper,653,510,121,134,282.png,1440,900
gripper,657,529,117,138,284.png,1440,900
gripper,645,600,130,142,286.png,1440,900
