,x,y,name,1128,1307,1131,1070,1107,1139,1145,1092,1140,1138,1129,1122,1399,1311,1200,1692,1105,1103,1433,1121,1137,1309,1658,1654,1134,1054,1308,1167,1507,1651,1117,1383,1414,1360,1106,1132,1404,1259,1344,1642,1412,1244,1403
0,1469,,/Users/akshitshishodia/tracker/roboDK /pred/0.png,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1469,,/Users/akshitshishodia/tracker/roboDK /pred/1.png,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1472,,/Users/akshitshishodia/tracker/roboDK /pred/2.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1469,,/Users/akshitshishodia/tracker/roboDK /pred/3.png,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1477,,/Users/akshitshishodia/tracker/roboDK /pred/4.png,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1488,,/Users/akshitshishodia/tracker/roboDK /pred/5.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1477,,/Users/akshitshishodia/tracker/roboDK /pred/6.png,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1472,,/Users/akshitshishodia/tracker/roboDK /pred/7.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1472,,/Users/akshitshishodia/tracker/roboDK /pred/8.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1472,,/Users/akshitshishodia/tracker/roboDK /pred/9.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1472,,/Users/akshitshishodia/tracker/roboDK /pred/10.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1477,,/Users/akshitshishodia/tracker/roboDK /pred/11.png,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1488,,/Users/akshitshishodia/tracker/roboDK /pred/12.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1469,,/Users/akshitshishodia/tracker/roboDK /pred/13.png,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1477,,/Users/akshitshishodia/tracker/roboDK /pred/14.png,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1472,,/Users/akshitshishodia/tracker/roboDK /pred/15.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1469,,/Users/akshitshishodia/tracker/roboDK /pred/16.png,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1469,,/Users/akshitshishodia/tracker/roboDK /pred/17.png,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1472,,/Users/akshitshishodia/tracker/roboDK /pred/18.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1472,,/Users/akshitshishodia/tracker/roboDK /pred/19.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1469,,/Users/akshitshishodia/tracker/roboDK /pred/20.png,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1488,,/Users/akshitshishodia/tracker/roboDK /pred/21.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1488,,/Users/akshitshishodia/tracker/roboDK /pred/22.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1452,,/Users/akshitshishodia/tracker/roboDK /pred/23.png,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1477,,/Users/akshitshishodia/tracker/roboDK /pred/24.png,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1498,,/Users/akshitshishodia/tracker/roboDK /pred/25.png,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1472,,/Users/akshitshishodia/tracker/roboDK /pred/26.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1476,,/Users/akshitshishodia/tracker/roboDK /pred/27.png,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1452,,/Users/akshitshishodia/tracker/roboDK /pred/28.png,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1477,,/Users/akshitshishodia/tracker/roboDK /pred/29.png,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1488,,/Users/akshitshishodia/tracker/roboDK /pred/30.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1469,,/Users/akshitshishodia/tracker/roboDK /pred/31.png,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1472,,/Users/akshitshishodia/tracker/roboDK /pred/32.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1477,,/Users/akshitshishodia/tracker/roboDK /pred/33.png,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1472,,/Users/akshitshishodia/tracker/roboDK /pred/34.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1469,,/Users/akshitshishodia/tracker/roboDK /pred/35.png,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1472,,/Users/akshitshishodia/tracker/roboDK /pred/36.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1488,,/Users/akshitshishodia/tracker/roboDK /pred/37.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1488,,/Users/akshitshishodia/tracker/roboDK /pred/38.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1488,,/Users/akshitshishodia/tracker/roboDK /pred/39.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1472,,/Users/akshitshishodia/tracker/roboDK /pred/40.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1472,,/Users/akshitshishodia/tracker/roboDK /pred/41.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1472,,/Users/akshitshishodia/tracker/roboDK /pred/42.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1472,,/Users/akshitshishodia/tracker/roboDK /pred/43.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1488,,/Users/akshitshishodia/tracker/roboDK /pred/44.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1488,,/Users/akshitshishodia/tracker/roboDK /pred/45.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1488,,/Users/akshitshishodia/tracker/roboDK /pred/46.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
